,Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,WC,LC,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes,Year
0,1,Manhattan,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,61.0,59.0,,0.0,-2.0,,,,,,,2023
1,2,Marist,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,71.0,55.0,,0.0,-16.0,,,,,,,2023
2,3,Quinnipiac,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Rider,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Siena,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,73.0,71.0,,0.0,-2.0,,,,,,,2023
5,6,Fairfield,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,70.0,89.0,,0.0,19.0,,,,,,,2023
6,7,Iona,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,69.0,71.0,,0.0,2.0,,,,,,,2023
7,8,Mount St. Mary's,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,53.0,68.0,,0.0,15.0,,,,,,,2023
8,9,Niagara,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,63.0,70.0,,0.0,7.0,,,,,,,2023
9,10,Saint Peter's,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,59.0,70.0,,0.0,11.0,,,,,,,2023
10,11,Canisius,Metro Atlantic Athletic Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Akron,Mid-American Conference,1,0,1.0,,,,,,81.0,75.0,,0.0,-6.0,,,,,,,2023
1,2,Ball State,Mid-American Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Bowling Green State,Mid-American Conference,1,0,1.0,,,,,,70.0,41.0,,0.0,-29.0,,,,,,,2023
3,4,Kent State,Mid-American Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Toledo,Mid-American Conference,1,0,1.0,,,,,,94.0,60.0,,0.0,-34.0,,,,,,,2023
5,6,Buffalo,Mid-American Conference,0,1,0.0,,,,,,86.0,92.0,,0.0,6.0,,,,,,,2023
6,7,Central Michigan,Mid-American Conference,0,1,0.0,,,,,,59.0,89.0,,0.0,30.0,,,,,,,2023
7,8,Eastern Michigan,Mid-American Conference,0,1,0.0,,,,,,55.0,94.0,,0.0,39.0,,,,,,,2023
8,9,Miami (OH),Mid-American Conference,0,1,0.0,,,,,,64.0,72.0,,0.0,8.0,,,,,,,2023
9,10,Northern Illinois,Mid-American Conference,0,1,0.0,,,,,,70.0,92.0,,0.0,22.0,,,,,,,2023
10,11,Western Michigan,Mid-American Conference,0,1,0.0,,,,,,76.0,80.0,,0.0,4.0,,,,,,,2023
11,12,Ohio,Mid-American Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Howard,Mid-Eastern Athletic Conference,1,0,1.0,,,,,,92.0,80.0,,0.0,-12.0,,,,,,,2023
1,2,Norfolk State,Mid-Eastern Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,South Carolina State,Mid-Eastern Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Coppin State,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,55.0,100.0,,0.0,45.0,,,,,,,2023
4,5,Delaware State,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,45.0,79.0,,0.0,34.0,,,,,,,2023
5,6,Maryland-Eastern Shore,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,65.0,85.0,,0.0,20.0,,,,,,,2023
6,7,Morgan State,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,59.0,122.0,,0.0,63.0,,,,,,,2023
7,8,North Carolina Central,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,56.0,99.0,,0.0,43.0,,,,,,,2023
0,1,Belmont,Missouri Valley Conference,1,0,1.0,,,,,,89.0,87.0,,0.0,-2.0,,,,,,,2023
1,2,Bradley,Missouri Valley Conference,1,0,1.0,,,,,,73.0,71.0,,0.0,-2.0,,,,,,,2023
2,3,Evansville,Missouri Valley Conference,1,0,1.0,,,,,,72.0,64.0,,0.0,-8.0,,,,,,,2023
3,4,Illinois State,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Indiana State,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,Murray State,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Southern Illinois,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
7,8,Valparaiso,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
8,9,Illinois-Chicago,Missouri Valley Conference,0,1,0.0,,,,,,58.0,69.0,,0.0,11.0,,,,,,,2023
9,10,Missouri State,Missouri Valley Conference,0,1,0.0,,,,,,59.0,67.0,,0.0,8.0,,,,,,,2023
10,11,Northern Iowa,Missouri Valley Conference,0,1,0.0,,,,,,77.0,83.0,,0.0,6.0,,,,,,,2023
11,12,Drake,Missouri Valley Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Boise State,Mountain West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Colorado State,Mountain West Conference,1,0,1.0,,,,,,81.0,73.0,,0.0,-8.0,,,,,,,2023
2,3,Fresno State,Mountain West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Nevada,Mountain West Conference,1,0,1.0,,,,,,77.0,63.0,,0.0,-14.0,,,,,,,2023
4,5,New Mexico,Mountain West Conference,1,0,1.0,,,,,,92.0,55.0,,0.0,-37.0,,,,,,,2023
5,6,San Diego State,Mountain West Conference,1,0,1.0,,,,,,83.0,57.0,,0.0,-26.0,,17.0,17.0,,,,2023
6,7,San Jose State,Mountain West Conference,1,0,1.0,,,,,,72.0,64.0,,0.0,-8.0,,,,,,,2023
7,8,Utah State,Mountain West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
8,9,Wyoming,Mountain West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
9,10,Air Force,Mountain West Conference,0,1,0.0,,,,,,55.0,62.0,,0.0,7.0,,,,,,,2023
10,11,Nevada-Las Vegas,Mountain West Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Fairleigh Dickinson,Northeast Conference,1,0,1.0,,,,,,92.0,86.0,,0.0,-6.0,,,,,,,2023
1,2,Sacred Heart,Northeast Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Central Connecticut State,Northeast Conference,0,1,0.0,,,,,,70.0,81.0,,0.0,11.0,,,,,,,2023
3,4,Le Moyne,Northeast Conference,0,1,0.0,,,,,,57.0,94.0,,0.0,37.0,,,,,,,2023
4,5,Merrimack,Northeast Conference,0,1,0.0,,,,,,55.0,67.0,,0.0,12.0,,,,,,,2023
5,6,Saint Francis (PA),Northeast Conference,0,1,0.0,,,,,,44.0,75.0,,0.0,31.0,,,,,,,2023
6,7,Stonehill,Northeast Conference,0,1,0.0,,,,,,44.0,89.0,,0.0,45.0,,,,,,,2023
7,8,Wagner,Northeast Conference,0,1,0.0,,,,,,64.0,68.0,,0.0,4.0,,,,,,,2023
8,9,Long Island University,Northeast Conference,0,0,,,,,,,,,,,,,,,,,,2023
9,10,St. Francis (NY),Northeast Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Little Rock,Ohio Valley Conference,1,0,1.0,,,,,,71.0,66.0,,0.0,-5.0,,,,,,,2023
1,2,Tennessee State,Ohio Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Tennessee-Martin,Ohio Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Eastern Illinois,Ohio Valley Conference,0,1,0.0,,,,,,52.0,80.0,,0.0,28.0,,,,,,,2023
4,5,Lindenwood,Ohio Valley Conference,0,1,0.0,,,,,,52.0,84.0,,0.0,32.0,,,,,,,2023
5,6,Morehead State,Ohio Valley Conference,0,1,0.0,,,,,,73.0,105.0,,0.0,32.0,,,,,,,2023
6,7,Southeast Missouri State,Ohio Valley Conference,0,1,0.0,,,,,,67.0,88.0,,0.0,21.0,,,,,,,2023
7,8,Southern Illinois-Edwardsville,Ohio Valley Conference,0,1,0.0,,,,,,47.0,63.0,,0.0,16.0,,,,,,,2023
8,9,Southern Indiana,Ohio Valley Conference,0,1,0.0,,,,,,63.0,75.0,,0.0,12.0,,,,,,,2023
9,10,Tennessee Tech,Ohio Valley Conference,0,1,0.0,,,,,,42.0,80.0,,0.0,38.0,,,,,,,2023
10,11,Western Illinois,Ohio Valley Conference,0,1,0.0,,,,,,68.0,78.0,,0.0,10.0,,,,,,,2023
0,1,Arizona,Pac-12 Conference,1,0,1.0,,,,,,122.0,59.0,,0.0,-63.0,,12.0,12.0,,,,2023
1,2,California,Pac-12 Conference,1,0,1.0,,,,,,71.0,66.0,,0.0,-5.0,,,,,,,2023
2,3,Colorado,Pac-12 Conference,1,0,1.0,,,,,,75.0,57.0,,0.0,-18.0,,,,,,,2023
3,4,Oregon,Pac-12 Conference,1,0,1.0,,,,,,82.0,71.0,,0.0,-11.0,,,,,,,2023
4,5,Oregon State,Pac-12 Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,Southern California,Pac-12 Conference,1,0,1.0,,,,,,82.0,69.0,,0.0,-13.0,,21.0,21.0,,,,2023
6,7,Stanford,Pac-12 Conference,1,0,1.0,,,,,,88.0,79.0,,0.0,-9.0,,,,,,,2023
7,8,UCLA,Pac-12 Conference,1,0,1.0,,,,,,75.0,44.0,,0.0,-31.0,,,,,,,2023
8,9,Utah,Pac-12 Conference,1,0,1.0,,,,,,101.0,66.0,,0.0,-35.0,,,,,,,2023
9,10,Washington,Pac-12 Conference,1,0,1.0,,,,,,91.0,57.0,,0.0,-34.0,,,,,,,2023
10,11,Washington State,Pac-12 Conference,1,0,1.0,,,,,,84.0,59.0,,0.0,-25.0,,,,,,,2023
11,12,Arizona State,Pac-12 Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Colgate,Patriot League,1,0,1.0,,,,,,85.0,75.0,,0.0,-10.0,,,,,,,2023
1,2,American,Patriot League,0,1,0.0,,,,,,63.0,90.0,,0.0,27.0,,,,,,,2023
2,3,Army,Patriot League,0,1,0.0,,,,,,55.0,71.0,,0.0,16.0,,,,,,,2023
3,4,Boston University,Patriot League,0,1,0.0,,,,,,58.0,67.0,,0.0,9.0,,,,,,,2023
4,5,Bucknell,Patriot League,0,1,0.0,,,,,,57.0,78.0,,0.0,21.0,,,,,,,2023
5,6,Holy Cross,Patriot League,0,1,0.0,,,,,,71.0,73.0,,0.0,2.0,,,,,,,2023
6,7,Lafayette,Patriot League,0,1,0.0,,,,,,60.0,81.0,,0.0,21.0,,,,,,,2023
7,8,Lehigh,Patriot League,0,1,0.0,,,,,,78.0,84.0,,0.0,6.0,,,,,,,2023
8,9,Loyola (MD),Patriot League,0,1,0.0,,,,,,73.0,93.0,,0.0,20.0,,,,,,,2023
9,10,Navy,Patriot League,0,1,0.0,,,,,,48.0,59.0,,0.0,11.0,,,,,,,2023
0,1,Alabama,Southeastern Conference,1,0,1.0,,,,,,105.0,73.0,,0.0,-32.0,,24.0,24.0,,,,2023
1,2,Arkansas,Southeastern Conference,1,0,1.0,,,,,,93.0,59.0,,0.0,-34.0,,14.0,14.0,,,,2023
2,3,Florida,Southeastern Conference,1,0,1.0,,,,,,93.0,73.0,,0.0,-20.0,,,,,,,2023
3,4,Kentucky,Southeastern Conference,1,0,1.0,,,,,,86.0,46.0,,0.0,-40.0,,16.0,16.0,,,,2023
4,5,Louisiana State,Southeastern Conference,1,0,1.0,,,,,,106.0,60.0,,0.0,-46.0,,,,,,,2023
5,6,Mississippi,Southeastern Conference,1,0,1.0,,,,,,69.0,59.0,,0.0,-10.0,,,,,,,2023
6,7,Missouri,Southeastern Conference,1,0,1.0,,,,,,101.0,79.0,,0.0,-22.0,,,,,,,2023
7,8,South Carolina,Southeastern Conference,1,0,1.0,,,,,,82.0,53.0,,0.0,-29.0,,,,,,,2023
8,9,Tennessee,Southeastern Conference,1,0,1.0,,,,,,80.0,42.0,,0.0,-38.0,,9.0,9.0,,,,2023
9,10,Texas A&M,Southeastern Conference,1,0,1.0,,,,,,78.0,46.0,,0.0,-32.0,,15.0,15.0,,,,2023
10,11,Auburn,Southeastern Conference,0,1,0.0,,,,,,82.0,88.0,,0.0,6.0,,,,,,,2023
11,12,Georgia,Southeastern Conference,0,1,0.0,,,,,,71.0,82.0,,0.0,11.0,,,,,,,2023
12,13,Vanderbilt,Southeastern Conference,0,1,0.0,,,,,,62.0,68.0,,0.0,6.0,,,,,,,2023
13,14,Mississippi State,Southeastern Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Chattanooga,Southern Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,East Tennessee State,Southern Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Furman,Southern Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Western Carolina,Southern Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Wofford,Southern Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,Mercer,Southern Conference,0,1,0.0,,,,,,,,,,,,,,,,,2023
6,7,Samford,Southern Conference,0,1,0.0,,,,,,45.0,98.0,,0.0,53.0,,,,,,,2023
7,8,The Citadel,Southern Conference,0,1,0.0,,,,,,59.0,72.0,,0.0,13.0,,,,,,,2023
8,9,Virginia Military Institute,Southern Conference,0,1,0.0,,,,,,75.0,93.0,,0.0,18.0,,,,,,,2023
9,10,UNC Greensboro,Southern Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Lamar,Southland Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,McNeese State,Southland Conference,1,0,1.0,,,,,,76.0,65.0,,0.0,-11.0,,,,,,,2023
2,3,New Orleans,Southland Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Northwestern State,Southland Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Southeastern Louisiana,Southland Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,Texas A&M-Corpus Christi,Southland Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Houston Christian,Southland Conference,0,1,0.0,,,,,,63.0,110.0,,0.0,47.0,,,,,,,2023
7,8,Incarnate Word,Southland Conference,0,1,0.0,,,,,,56.0,88.0,,0.0,32.0,,,,,,,2023
8,9,Nicholls State,Southland Conference,0,1,0.0,,,,,,81.0,91.0,,0.0,10.0,,,,,,,2023
9,10,Texas A&M-Commerce,Southland Conference,0,1,0.0,,,,,,46.0,78.0,,0.0,32.0,,,,,,,2023
0,1,Kansas City,Summit League,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,North Dakota State,Summit League,1,0,1.0,,,,,,80.0,76.0,,0.0,-4.0,,,,,,,2023
2,3,Omaha,Summit League,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,South Dakota,Summit League,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Denver,Summit League,0,1,0.0,,,,,,87.0,95.0,,0.0,8.0,,,,,,,2023
5,6,North Dakota,Summit League,0,1,0.0,,,,,,68.0,110.0,,0.0,42.0,,,,,,,2023
6,7,Oral Roberts,Summit League,0,1,0.0,,,,,,71.0,75.0,,0.0,4.0,,,,,,,2023
7,8,South Dakota State,Summit League,0,1,0.0,,,,,,75.0,81.0,,0.0,6.0,,,,,,,2023
8,9,St. Thomas,Summit League,0,1,0.0,,,,,,66.0,71.0,,0.0,5.0,,,,,,,2023
0,1,Appalachian State,Sun Belt Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Coastal Carolina,Sun Belt Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,James Madison,Sun Belt Conference,1,0,1.0,,,,,,79.0,76.0,,0.0,-3.0,,,,,,,2023
3,4,Louisiana,Sun Belt Conference,1,0,1.0,,,,,,72.0,62.0,,0.0,-10.0,,,,,,,2023
4,5,Marshall,Sun Belt Conference,1,0,1.0,,,,,,89.0,73.0,,0.0,-16.0,,,,,,,2023
5,6,Old Dominion,Sun Belt Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Southern Mississippi,Sun Belt Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
7,8,Troy,Sun Belt Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
8,9,Arkansas State,Sun Belt Conference,0,1,0.0,,,,,,76.0,105.0,,0.0,29.0,,,,,,,2023
9,10,Georgia Southern,Sun Belt Conference,0,1,0.0,,,,,,62.0,84.0,,0.0,22.0,,,,,,,2023
10,11,Georgia State,Sun Belt Conference,0,1,0.0,,,,,,87.0,89.0,,0.0,2.0,,,,,,,2023
11,12,Louisiana-Monroe,Sun Belt Conference,0,1,0.0,,,,,,31.0,84.0,,0.0,53.0,,,,,,,2023
12,13,South Alabama,Sun Belt Conference,0,1,0.0,,,,,,,,,,,,,,,,,2023
13,14,Texas State,Sun Belt Conference,0,1,0.0,,,,,,66.0,71.0,,0.0,5.0,,,,,,,2023
0,1,Grambling,Southwest Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Prairie View,Southwest Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Alabama State,Southwest Athletic Conference,0,1,0.0,,,,,,59.0,69.0,,0.0,10.0,,,,,,,2023
3,4,Alcorn State,Southwest Athletic Conference,0,1,0.0,,,,,,59.0,93.0,,0.0,34.0,,,,,,,2023
4,5,Arkansas-Pine Bluff,Southwest Athletic Conference,0,1,0.0,,,,,,79.0,101.0,,0.0,22.0,,,,,,,2023
5,6,Bethune-Cookman,Southwest Athletic Conference,0,1,0.0,,,,,,60.0,80.0,,0.0,20.0,,,,,,,2023
6,7,Florida A&M,Southwest Athletic Conference,0,1,0.0,,,,,,54.0,105.0,,0.0,51.0,,,,,,,2023
7,8,Jackson State,Southwest Athletic Conference,0,1,0.0,,,,,,77.0,94.0,,0.0,17.0,,,,,,,2023
8,9,Mississippi Valley State,Southwest Athletic Conference,0,1,0.0,,,,,,60.0,106.0,,0.0,46.0,,,,,,,2023
9,10,Southern,Southwest Athletic Conference,0,1,0.0,,,,,,75.0,108.0,,0.0,33.0,,,,,,,2023
10,11,Texas Southern,Southwest Athletic Conference,0,1,0.0,,,,,,55.0,92.0,,0.0,37.0,,,,,,,2023
11,12,Alabama A&M,Southwest Athletic Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Abilene Christian,Western Athletic Conference,1,0,1.0,,,,,,64.0,59.0,,0.0,-5.0,,,,,,,2023
1,2,California Baptist,Western Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Grand Canyon,Western Athletic Conference,1,0,1.0,,,,,,88.0,67.0,,0.0,-21.0,,,,,,,2023
3,4,Stephen F. Austin,Western Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Texas-Rio Grande Valley,Western Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,UT Arlington,Western Athletic Conference,1,0,1.0,,,,,,75.0,71.0,,0.0,-4.0,,,,,,,2023
6,7,Utah Valley,Western Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
7,8,Southern Utah,Western Athletic Conference,0,1,0.0,,,,,,72.0,73.0,,0.0,1.0,,,,,,,2023
8,9,Tarleton State,Western Athletic Conference,0,1,0.0,,,,,,50.0,80.0,,0.0,30.0,,,,,,,2023
9,10,Seattle,Western Athletic Conference,0,0,,,,,,,,,,,,,,,,,,2023
10,11,Utah Tech,Western Athletic Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Loyola Marymount,West Coast Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Pepperdine,West Coast Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Portland,West Coast Conference,1,0,1.0,,,,,,78.0,73.0,,0.0,-5.0,,,,,,,2023
3,4,Saint Mary's (CA),West Coast Conference,1,0,1.0,,,,,,,,,,,,23.0,23.0,,,,2023
4,5,San Diego,West Coast Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,San Francisco,West Coast Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Pacific,West Coast Conference,0,1,0.0,,,,,,57.0,64.0,,0.0,7.0,,,,,,,2023
7,8,Gonzaga,West Coast Conference,0,0,,,,,,,,,,,,,11.0,11.0,,,,2023
8,9,Santa Clara,West Coast Conference,0,0,,,,,,,,,,,,,,,,,,2023
